"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C9,C3,C48,C46,C8,C47,C5,C30,C1,C45,C2,C7,C4,C29,C31,C10,C6";"C_0603_1608Metric";17;"1uF";;;
2;"L5,L4";"L_0603_1608Metric";2;"180nH";;;
3;"C25,C21,C23,C11";"C_0603_1608Metric";4;"4.7uF 10V";;;
4;"R30,R21,R20,R19";"R_0603_1608Metric";4;"100K";;;
5;"C41,C35";"C_0603_1608Metric";2;"680pF C0G NP0";;;
6;"R6,R5,R3";"R_0603_1608Metric";3;"200";;;
7;"R14";"R_0603_1608Metric";1;"10K";;;
8;"C12,C28,C16,C17,C22,C27,C26,C37,C19";"C_0603_1608Metric";9;"10uF 10V";;;
9;"U1,U6";"TSOT-23-5";2;"S-1740C33-M5T1U4";;;
10;"Y2,Y3,Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";3;"ABS07-120-32.768KHZ-T";;;
11;"FB2,FB3,FB5,FB1";"L_0805_2012Metric";4;"FBMJ2125HS250NT";;;
12;"U8,U5";"QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm";2;"SR1020-28QFN-TR";;;
13;"R28,R33";"R_0603_1608Metric";2;"2.2M +- 1%";;;
14;"R17,R18";"R_0603_1608Metric";2;"1M";;;
15;"R16,R15";"R_0603_1608Metric";2;"5.1K";;;
16;"C33,C42,C34,C43";"C_0603_1608Metric";4;"10pF";;;
17;"R31,R32,R29";"R_0603_1608Metric";3;"390K +- 5%";;;
18;"U4";"QFN40P400X400X80-29N";1;"MAX8819CETI+";;;
19;"C44,C38,C14,C13,C20,C15,C39,C18,C32";"C_0603_1608Metric";9;"100nF 10V";;;
20;"R23";"R_0603_1608Metric";1;"120K";;;
21;"U7";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATSAMD11C14A-SS";;;
22;"L2,L3,L1";"L_Taiyo-Yuden_MD-2020";3;"4.7uH";;;
23;"C36,C40";"C_0603_1608Metric";2;"68pF C0G NP0";;;
24;"D5,D4";"CM1231-02SO";2;"CM1231";;;
25;"R26,R27";"R_0603_1608Metric";2;"470K";;;
26;"R24";"R_0603_1608Metric";1;"80.6K";;;
27;"U2";"MAX32625ITKL&plus_";1;"MAX32625";;;
28;"R13";"R_0603_1608Metric";1;"13";;;
29;"3V3";"TestPoint_Pad_D1.0mm";1;"3.3V Test Point";;;
30;"SW10";"SW_SPST_B3U-1000P-B";1;"SW_Push";;;
31;"C24";"C_0603_1608Metric";1;"2.2uF";;;
32;"R25";"R_0603_1608Metric";1;"20K";;;
33;"R22";"R_0603_1608Metric";1;"3K";;;
